"","LD1","LD2","LD3","1","2","3","4"
"HKG6_HKG6",-2.88608211510125,-2.8217975984468,-4.91494612637418,0,1,0,0
"HKG8_HKG8",-2.40744516925603,-2.45330610847759,-6.06786222845381,0,1,0,0
"HKG9_HKG9",-1.68078440335536,-1.39414825012259,-5.38244300082205,0,1,0,0
"HKI1_HKI1",-0.945285284188806,-1.11631859588254,-2.28674404864311,0,1,0,0
"HKI10_HKI10",-1.26957468791396,-1.92116511088655,-4.85398797540396,0,1,0,0
"HKI12_HKI12",-1.30441147766076,-3.60458117887933,-4.55746603490764,0,1,0,0
"HKI14_HKI14",-0.597732418803041,-3.07195758884345,-6.70335158731315,0,1,0,0
"HKI15_HKI15",-1.48300949013812,-1.24819627008282,-6.68988523641733,0,1,0,0
"HKI16_HKI16",-2.72357817586505,-0.750346870693502,-4.35890805189922,0,1,0,0
"HKI17_HKI17",-1.46669865365265,-1.35609097377705,-6.00666115784786,0,1,0,0
"HKI20_HKI20",-1.42765221305894,-4.17056436803699,-6.41295407528295,0,1,0,0
"HKI21_HKI21",-0.480038115510998,-0.334243467310032,-4.46229836758662,0,1,0,0
"HKI22_HKI22",-0.45781240351605,0.135550433753488,-5.61241798942076,0,1,0,0
"HKI24_HKI24",-0.992877212383413,-0.912956175517341,-6.66426592886844,0,1,0,0
"HKI25_HKI25",-1.34944864048463,0.250654126310327,-5.10660150465573,0,1,0,0
"HKI5_HKI5",-0.625388020999125,0.213883608947393,-3.20514650025178,0,1,0,0
"HKI6_HKI6",-1.22295305870853,-2.00944046754613,-3.89103499673241,0,1,0,0
"HKI7_HKI7",-0.774917742779059,-0.164233749965661,-4.08181257252167,0,1,0,0
"HKI8_HKI8",-1.65026681569483,-0.773046630197133,-4.34572027137133,0,1,0,0
"HKL1_HKL1",-1.5098891638172,-1.28190336448076,-4.48237107603602,0,1,0,0
"HKL2_HKL2",0.361071194548419,-0.09440291634452,-4.02149538652125,0,1,0,0
"HKL3_HKL3",-1.4375893965358,-0.397444698466421,-4.93123371482929,0,1,0,0
"HKL4_HKL4",-1.81781364134287,-1.75761159129031,-5.76190854137112,0,1,0,0
