"","LD1","LD2","1","2","3"
"CHLU2_CHLU2",-4.40917109475524,-4.5525214203416,1,0,0
"CHLU3_CHLU3",-2.51604514543268,-3.28026243495905,1,0,0
"CHNE2_CHNE2",-3.34372994830713,-4.15218690445449,1,0,0
"CHNE3_CHNE3",-3.40097594401478,-4.07155591253756,1,0,0
"CHNE4_CHNE4",-2.78685486825885,-5.57839231527683,1,0,0
"CHNE5_CHNE5",-3.64361129747279,-4.05907734125191,1,0,0
"CHNO1_CHNO1",-2.41872888813931,-4.67417965650695,1,0,0
"CHNO2_CHNO2",-2.10358117604568,-4.33460349996095,1,0,0
"CHPR2_CHPR2",-3.70950647466676,-4.26244607351635,1,0,0
"CHSOR1_CHSOR1",-3.24014407070273,-2.45443311336768,1,0,0
"TH10_TH10",-3.8488313898559,-4.12627004300227,1,0,0
"TH3_TH3",-2.76818395966143,-2.32027181247943,1,0,0
"TH4_TH4",-2.20897862878069,-4.77188771397555,1,0,0
"TH5_TH5",-3.21930125941496,-4.02350335956458,1,0,0
"TH7_TH7",-3.42064504771494,-4.29322292016483,1,0,0
"TH9_TH9",-2.82833849281488,-4.54408844119732,1,0,0
"TL1_TL1",-4.29418898403216,-3.0910598588189,1,0,0
"TL2_TL2",-2.48687844044067,-3.03655624418358,1,0,0
"TL3_TL3",-2.31714739203391,-4.29752852520282,1,0,0
"TL4_TL4",-2.45105925807667,-4.49796152464206,1,0,0
"TL5_TL5",-2.82781003445016,-4.20793865420288,1,0,0
"TL6_TL6",-2.85329558058237,-4.53765416927691,1,0,0
"TL7_TL7",-4.04400019903447,-4.96500591614409,1,0,0
"TL8_TL8",-2.15035507533678,-4.5371289712809,1,0,0
"USSU11_USSU11",-2.77824534213354,-2.93967066894249,1,0,0
"USSU12_USSU12",-2.25954046059147,-5.99002521526153,1,0,0
"USSU13_USSU13",-2.92902790553089,-4.99900830279366,1,0,0
"USSU4_USSU4",-2.56664280132042,-3.71297666763168,1,0,0
"USSU5_USSU5",-2.07567305611402,-4.63692893721107,1,0,0
"USSU7_USSU7",-3.05112007131141,-3.01636336920611,1,0,0
"alb_vanu18_02_alb_vanu18_02",-3.05272067616873,4.55014478738787,0,0,1
"alb_vanu18_03_alb_vanu18_03",-1.8083942930486,5.16452316738041,0,0,1
"alb_vanu18_05_alb_vanu18_05",-3.15774784843976,5.3176682088982,0,0,1
"alb_vanu18_06_alb_vanu18_06",-3.67252540154777,3.86897828494002,0,0,1
"alb_vanu18_09_alb_vanu18_09",-2.69176498440563,4.16811950081104,0,0,1
"alb_vanu18_11_alb_vanu18_11",-2.11708286513708,4.61995241429482,0,0,1
"alb_vanu18_12_alb_vanu18_12",-3.46685272397514,4.20555937535357,0,0,1
"alb_vanu18_16_alb_vanu18_16",-3.45061525204732,4.43648130324595,0,0,1
"alb_indo16_01_alb_indo16_01",23.2250926154789,0.203202446526074,0,1,0
"alb_indo16_02_alb_indo16_02",25.2866606535103,0.03829427802028,0,1,0
"alb_indo16_03_alb_indo16_03",26.0730957261854,0.268241777392557,0,1,0
"alb_indo16_04_alb_indo16_04",27.5864736141313,0.156486144513482,0,1,0
"alb_indo16_08_alb_indo16_08",26.2669006414452,0.199266088280366,0,1,0
"alb_indo16_10_alb_indo16_10",26.0092220055876,-0.388425789221435,0,1,0
"alb_indo16_16_alb_indo16_16",23.7043123038294,0.17503982092189,0,1,0
"alb_indo16_20_alb_indo16_20",27.7015538405196,0.285388619093087,0,1,0
"BALI31_BALI31",26.204749886533,0.216802777275922,0,1,0
"BALI33_BALI33",26.4283556970398,-0.491153218072682,0,1,0
"BALI34_BALI34",23.6688123759805,-0.484010466821995,0,1,0
"BALI36_BALI36",23.4455379046633,-0.649317545243677,0,1,0
"BALI39_BALI39",27.463341628634,-1.50398297996414,0,1,0
"BALI40_BALI40",22.2595678981241,0.584600158931884,0,1,0
"BALI42_BALI42",22.562572941711,0.59954347858737,0,1,0
"A002_A002",-2.64389841232715,5.40071940357877,0,0,1
"A003_A003",-4.52276308952888,3.09214036440211,0,0,1
"A050_A050",-3.46824732411714,5.67335508633408,0,0,1
"A076_A076",-1.85287413425988,3.41734331048469,0,0,1
"A098_A098",-4.0834659161184,4.26858623477659,0,0,1
"A119_A119",-2.85216812938298,3.24253577016124,0,0,1
"A120_A120",-4.02640366303188,3.53682157864916,0,0,1
"A137_A137",-3.74846211545586,4.41755573628213,0,0,1
"A145_A145",-1.31678533638443,2.23337677502958,0,0,1
"A146_A146",-3.09996840400012,4.08698762007717,0,0,1
"A177_A177",-1.72804388720529,3.07607261035729,0,0,1
"A204_A204",-1.49182324581663,3.27346306023174,0,0,1
"A243_A243",-3.3015937511218,5.20420239246744,0,0,1
"A246_A246",-3.58659304658157,4.64038507624124,0,0,1
"CHN_alb_228_CHN_alb_228",-3.32249895248968,3.30071510709105,0,0,1
"CHN_alb_239_CHN_alb_239",-2.15376028771744,2.22571855794153,0,0,1
"HKG10_HKG10",-2.90983127053906,4.73883758998161,0,0,1
"HKG2_HKG2",-2.3017856138095,4.10213456608109,0,0,1
"HKG4_HKG4",-4.020213244738,5.1969516053317,0,0,1
"HKG6_HKG6",-3.11603421373957,5.99067660762303,0,0,1
